English,Polish
Old,stary
Young,młody
Bad,zły
Good,dobry
Interesting,interesujący
Boring,nudny
Fast,szybki
Slow,wolny
Large/Big,duży
Small,mały
Thin,chudy
Fat,gruby
Happy,szczęśliwy
Sad,smutny
Beautiful,piękny
Ugly,brzydki
Heavy,ciężki
Light,lekki
Tall,wysoki
Short,niski
Long,długi
Short,krótki
Expensive,drogi
Cheap,tani
Hot,gorący
Cold,zimny
Fast,szybki
Faster than,szybszy niż
Ugly,brzydki
Uglier than,brzydszy niż
Interesting,interesujący
More interesting,bardziej interesujący
Bad,zły
Worse,gorszy
Good,dobry
Better,lepszy
